period_type,start_date,end_date,score_date,weekday,suitability_rank,capacity,fiscal,air_quality,weather,energy,suitability,expected_days,occupancy_days,fiscal_days,air_days,weather_days,energy_days,score_status
day,2025-12-10,2025-12-10,2025-12-10,Wednesday,1,88.12,85.67,36.21,64.09,74.30,77.03,1,1,1,1,1,1,Calculated
day,2025-11-24,2025-11-24,2025-11-24,Monday,2,71.04,88.81,60.20,60.86,83.48,76.76,1,1,1,1,1,1,Calculated
day,2025-12-23,2025-12-23,2025-12-23,Tuesday,3,90.88,79.30,63.15,36.93,75.27,76.11,1,1,1,1,1,1,Calculated
day,2025-12-26,2025-12-26,2025-12-26,Friday,4,76.69,82.65,67.27,75.75,65.27,75.16,1,1,1,1,1,1,Calculated
day,2025-12-17,2025-12-17,2025-12-17,Wednesday,5,75.87,94.68,57.62,38.02,69.73,74.68,1,1,1,1,1,1,Calculated
day,2025-01-08,2025-01-08,2025-01-08,Wednesday,6,83.43,82.30,37.67,42.19,82.60,74.23,1,1,1,1,1,1,Calculated
day,2025-12-19,2025-12-19,2025-12-19,Friday,7,85.75,80.74,35.67,60.06,66.32,72.78,1,1,1,1,1,1,Calculated
day,2025-11-27,2025-11-27,2025-11-27,Thursday,8,66.11,84.50,51.43,45.95,88.84,72.69,1,1,1,1,1,1,Calculated
day,2025-01-22,2025-01-22,2025-01-22,Wednesday,9,71.28,87.86,54.43,53.10,70.24,72.54,1,1,1,1,1,1,Calculated
day,2025-12-22,2025-12-22,2025-12-22,Monday,10,77.93,73.25,56.80,83.85,65.39,72.50,1,1,1,1,1,1,Calculated
day,2025-12-29,2025-12-29,2025-12-29,Monday,11,76.57,76.80,43.78,66.81,73.09,71.69,1,1,1,1,1,1,Calculated
day,2025-01-15,2025-01-15,2025-01-15,Wednesday,12,83.78,80.74,38.15,40.42,72.12,71.64,1,1,1,1,1,1,Calculated
day,2025-01-14,2025-01-14,2025-01-14,Tuesday,13,80.82,71.14,69.29,70.16,60.05,71.54,1,1,1,1,1,1,Calculated
day,2025-10-24,2025-10-24,2025-10-24,Friday,14,60.55,89.74,63.69,64.81,63.90,70.72,1,1,1,1,1,1,Calculated
day,2025-01-29,2025-01-29,2025-01-29,Wednesday,15,68.69,87.98,59.49,63.05,57.10,70.68,1,1,1,1,1,1,Calculated
day,2025-11-17,2025-11-17,2025-11-17,Monday,16,69.88,67.78,46.10,63.36,89.89,70.22,1,1,1,1,1,1,Calculated
day,2025-12-24,2025-12-24,2025-12-24,Wednesday,17,76.25,77.30,65.84,30.17,71.14,69.89,1,1,1,1,1,1,Calculated
day,2025-12-15,2025-12-15,2025-12-15,Monday,18,66.80,80.68,83.42,62.85,52.45,69.36,1,1,1,1,1,1,Calculated
day,2025-12-05,2025-12-05,2025-12-05,Friday,19,74.67,79.19,47.71,69.25,56.88,69.23,1,1,1,1,1,1,Calculated
day,2025-01-01,2025-01-01,2025-01-01,Wednesday,20,74.89,78.77,47.54,42.92,69.08,68.96,1,1,1,1,1,1,Calculated
day,2025-11-25,2025-11-25,2025-11-25,Tuesday,21,74.81,100.00,46.99,17.18,49.35,68.73,1,1,1,1,1,1,Calculated
day,2025-11-12,2025-11-12,2025-11-12,Wednesday,22,70.79,79.84,54.75,32.63,73.18,68.56,1,1,1,1,1,1,Calculated
day,2025-12-01,2025-12-01,2025-12-01,Monday,23,70.78,81.03,71.24,46.68,55.11,68.36,1,1,1,1,1,1,Calculated
day,2025-01-02,2025-01-02,2025-01-02,Thursday,24,78.72,82.69,54.85,44.28,50.08,68.35,1,1,1,1,1,1,Calculated
day,2025-09-29,2025-09-29,2025-09-29,Monday,25,69.96,82.03,58.48,53.78,57.26,68.28,1,1,1,1,1,1,Calculated
day,2025-01-31,2025-01-31,2025-01-31,Friday,26,74.32,81.00,72.89,34.16,54.29,68.16,1,1,1,1,1,1,Calculated
day,2025-12-12,2025-12-12,2025-12-12,Friday,27,73.96,82.01,59.21,54.28,49.30,68.00,1,1,1,1,1,1,Calculated
day,2025-11-11,2025-11-11,2025-11-11,Tuesday,28,73.57,82.08,50.94,51.71,55.03,67.97,1,1,1,1,1,1,Calculated
day,2025-03-10,2025-03-10,2025-03-10,Monday,29,71.58,68.32,64.00,50.70,72.26,67.89,1,1,1,1,1,1,Calculated
day,2025-12-30,2025-12-30,2025-12-30,Tuesday,30,81.99,79.18,83.61,24.60,42.28,67.63,1,1,1,1,1,1,Calculated
day,2025-12-06,2025-12-06,2025-12-06,Saturday,31,69.16,73.94,78.80,64.17,51.91,67.61,1,1,1,1,1,1,Calculated
day,2025-11-06,2025-11-06,2025-11-06,Thursday,32,66.12,71.66,61.22,46.43,76.20,67.34,1,1,1,1,1,1,Calculated
day,2025-02-21,2025-02-21,2025-02-21,Friday,33,75.95,77.28,59.92,60.02,46.08,67.18,1,1,1,1,1,1,Calculated
day,2025-11-05,2025-11-05,2025-11-05,Wednesday,34,58.55,79.94,61.66,53.49,70.43,67.15,1,1,1,1,1,1,Calculated
day,2025-01-28,2025-01-28,2025-01-28,Tuesday,35,74.75,85.03,56.55,51.32,40.25,66.77,1,1,1,1,1,1,Calculated
day,2025-11-19,2025-11-19,2025-11-19,Wednesday,36,69.26,85.76,49.36,33.09,59.43,66.64,1,1,1,1,1,1,Calculated
day,2025-01-25,2025-01-25,2025-01-25,Saturday,37,66.75,72.79,71.31,41.14,65.85,66.28,1,1,1,1,1,1,Calculated
day,2025-12-02,2025-12-02,2025-12-02,Tuesday,38,70.09,74.94,44.51,49.17,66.69,66.21,1,1,1,1,1,1,Calculated
day,2025-12-07,2025-12-07,2025-12-07,Sunday,39,70.03,71.14,64.79,64.93,48.94,65.11,1,1,1,1,1,1,Calculated
day,2025-01-06,2025-01-06,2025-01-06,Monday,40,72.24,68.86,59.46,50.62,58.74,65.09,1,1,1,1,1,1,Calculated
day,2025-12-18,2025-12-18,2025-12-18,Thursday,41,66.64,74.64,59.59,55.80,54.46,64.82,1,1,1,1,1,1,Calculated
day,2025-11-18,2025-11-18,2025-11-18,Tuesday,42,65.91,67.28,53.13,50.25,72.02,64.70,1,1,1,1,1,1,Calculated
day,2025-10-29,2025-10-29,2025-10-29,Wednesday,43,69.13,67.42,62.04,36.41,68.74,64.56,1,1,1,1,1,1,Calculated
day,2025-01-16,2025-01-16,2025-01-16,Thursday,44,78.89,70.04,22.47,34.82,70.47,64.50,1,1,1,1,1,1,Calculated
day,2025-11-07,2025-11-07,2025-11-07,Friday,45,60.40,74.18,64.46,25.71,75.44,64.48,1,1,1,1,1,1,Calculated
day,2025-02-12,2025-02-12,2025-02-12,Wednesday,46,67.23,85.68,52.87,38.15,47.50,64.48,1,1,1,1,1,1,Calculated
day,2025-03-03,2025-03-03,2025-03-03,Monday,47,51.45,68.86,63.28,55.18,79.72,63.88,1,1,1,1,1,1,Calculated
day,2025-10-03,2025-10-03,2025-10-03,Friday,48,61.71,71.09,67.38,70.61,50.60,63.76,1,1,1,1,1,1,Calculated
day,2025-12-08,2025-12-08,2025-12-08,Monday,49,66.87,73.60,72.32,25.55,59.02,63.73,1,1,1,1,1,1,Calculated
day,2025-11-04,2025-11-04,2025-11-04,Tuesday,50,63.05,79.79,50.37,40.75,58.82,63.73,1,1,1,1,1,1,Calculated
day,2025-10-23,2025-10-23,2025-10-23,Thursday,51,65.59,83.08,53.21,38.17,49.01,63.54,1,1,1,1,1,1,Calculated
day,2025-11-01,2025-11-01,2025-11-01,Saturday,52,57.31,72.18,47.49,44.38,76.84,63.40,1,1,1,1,1,1,Calculated
day,2025-03-07,2025-03-07,2025-03-07,Friday,53,67.68,60.07,71.74,46.28,66.28,63.38,1,1,1,1,1,1,Calculated
day,2025-10-22,2025-10-22,2025-10-22,Wednesday,54,57.96,77.73,54.53,61.63,55.19,63.36,1,1,1,1,1,1,Calculated
day,2025-09-10,2025-09-10,2025-09-10,Wednesday,55,52.62,64.96,70.60,55.62,76.47,63.19,1,1,1,1,1,1,Calculated
