period_type,start_date,end_date,score_date,weekday,suitability_rank,capacity,fiscal,air_quality,weather,energy,suitability,expected_days,occupancy_days,fiscal_days,air_days,weather_days,energy_days,score_status
week,2025-06-09,2025-06-15,,,1,20.60,91.71,71.32,75.31,93.97,67.15,7,7,7,7,7,7,Calculated
week,2025-04-14,2025-04-20,,,2,39.13,69.93,47.25,75.75,80.01,61.02,7,7,7,7,7,7,Calculated
week,2025-12-22,2025-12-28,,,3,86.18,10.36,67.60,80.32,77.42,59.24,7,7,7,7,7,7,Calculated
week,2025-05-05,2025-05-11,,,4,22.00,94.65,55.23,58.37,57.27,57.81,7,7,7,7,7,7,Calculated
week,2025-04-28,2025-05-04,,,5,34.49,82.47,53.14,100.00,29.73,56.35,7,7,7,7,7,7,Calculated
week,2025-06-16,2025-06-22,,,6,37.53,87.73,45.78,22.88,59.17,56.28,7,7,7,7,7,7,Calculated
week,2025-06-30,2025-07-06,,,7,20.71,92.82,40.40,28.26,72.98,55.52,7,7,7,7,7,7,Calculated
week,2025-09-15,2025-09-21,,,8,37.05,61.47,41.85,68.86,72.04,55.03,7,7,7,7,7,7,Calculated
week,2025-03-03,2025-03-09,,,9,53.12,37.08,41.59,77.08,79.01,54.73,7,7,7,7,7,7,Calculated
week,2025-07-28,2025-08-03,,,10,21.14,81.18,74.47,65.24,48.99,54.46,7,7,7,7,7,7,Calculated
week,2025-02-24,2025-03-02,,,11,80.89,41.33,46.70,53.10,37.39,54.13,7,7,7,7,7,7,Calculated
week,2025-04-21,2025-04-27,,,12,32.42,68.54,42.08,61.15,66.05,53.82,7,7,7,7,7,7,Calculated
week,2025-06-02,2025-06-08,,,13,30.30,92.93,55.32,45.12,30.85,53.18,7,7,7,7,7,7,Calculated
week,2025-03-10,2025-03-16,,,14,54.25,40.64,46.15,75.95,61.78,53.03,7,7,7,7,7,7,Calculated
week,2025-07-07,2025-07-13,,,15,29.75,79.37,35.28,62.93,49.37,52.43,7,7,7,7,7,7,Calculated
week,2025-10-06,2025-10-12,,,16,59.21,33.36,50.00,79.90,54.61,51.68,7,7,7,7,7,7,Calculated
week,2025-07-14,2025-07-20,,,17,44.74,77.22,45.53,30.12,37.46,51.64,7,7,7,7,7,7,Calculated
week,2025-11-03,2025-11-09,,,18,46.81,17.06,40.48,82.10,100.00,51.42,7,7,7,7,7,7,Calculated
week,2025-08-04,2025-08-10,,,19,26.40,82.53,31.25,82.33,36.67,51.37,7,7,7,7,7,7,Calculated
week,2025-05-19,2025-05-25,,,20,36.48,79.48,52.38,83.42,7.96,49.96,7,7,7,7,7,7,Calculated
week,2025-05-26,2025-06-01,,,21,24.09,80.83,21.36,54.60,52.78,49.63,7,7,7,7,7,7,Calculated
week,2025-06-23,2025-06-29,,,22,26.51,100.00,42.19,70.16,0.00,49.19,7,7,7,7,7,7,Calculated
week,2025-01-13,2025-01-19,,,23,83.96,13.82,35.19,48.15,57.45,49.16,7,7,7,7,7,7,Calculated
week,2025-03-31,2025-04-06,,,24,44.40,70.61,43.26,38.52,30.30,48.74,7,7,7,7,7,7,Calculated
week,2025-10-27,2025-11-02,,,25,50.08,27.70,32.61,56.58,80.24,48.30,7,7,7,7,7,7,Calculated
week,2025-08-11,2025-08-17,,,26,5.13,67.71,42.28,79.29,70.56,48.12,7,7,7,7,7,7,Calculated
week,2025-12-15,2025-12-21,,,27,75.82,6.95,57.46,80.07,44.46,47.48,7,7,7,7,7,7,Calculated
week,2025-09-22,2025-09-28,,,28,42.23,43.51,42.57,35.39,65.30,46.58,7,7,7,7,7,7,Calculated
week,2025-08-25,2025-08-31,,,29,23.27,78.85,35.40,58.12,32.78,46.54,7,7,7,7,7,7,Calculated
week,2025-07-21,2025-07-27,,,30,40.93,69.59,49.23,52.11,15.84,46.46,7,7,7,7,7,7,Calculated
week,2025-09-29,2025-10-05,,,31,58.75,27.42,70.49,52.87,38.06,45.80,7,7,7,7,7,7,Calculated
week,2025-05-12,2025-05-18,,,32,31.94,67.81,34.89,0.00,60.95,45.60,7,7,7,7,7,7,Calculated
week,2025-09-08,2025-09-14,,,33,48.31,41.77,35.29,48.41,48.37,45.07,7,7,7,7,7,7,Calculated
week,2025-03-24,2025-03-30,,,34,26.51,52.72,37.37,61.06,56.14,44.84,7,7,7,7,7,7,Calculated
week,2025-04-07,2025-04-13,,,35,40.88,57.65,37.16,53.85,29.49,44.56,7,7,7,7,7,7,Calculated
